Product,Date,Units Sold
Running Shorts - M,2025-05-30,5
Running Shorts - M,2025-05-31,7
Running Shorts - M,2025-06-01,5
Running Shorts - M,2025-06-02,4
Running Shorts - M,2025-06-03,4
Running Shorts - M,2025-06-04,5
Running Shorts - M,2025-06-05,4
Running Shorts - M,2025-06-06,4
Running Shorts - M,2025-06-07,5
Running Shorts - M,2025-06-08,5
Running Shorts - M,2025-06-09,4
Running Shorts - M,2025-06-10,4
Running Shorts - M,2025-06-11,4
Running Shorts - M,2025-06-12,4
Running Shorts - M,2025-06-13,4
Running Shorts - M,2025-06-14,5
Running Shorts - M,2025-06-15,5
Running Shorts - M,2025-06-16,3
Running Shorts - M,2025-06-17,3
Running Shorts - M,2025-06-18,4
Running Shorts - M,2025-06-19,4
Running Shorts - M,2025-06-20,4
Running Shorts - M,2025-06-21,6
Running Shorts - M,2025-06-22,6
Running Shorts - M,2025-06-23,4
Running Shorts - M,2025-06-24,4
Running Shorts - M,2025-06-25,4
Running Shorts - M,2025-06-26,5
Running Shorts - M,2025-06-27,4
Running Shorts - M,2025-06-28,6
Running Shorts - M,2025-06-29,5
Gym Bag - Black,2025-01-01,5
Gym Bag - Black,2025-01-02,6
Gym Bag - Black,2025-01-03,5
Gym Bag - Black,2025-01-04,7
Gym Bag - Black,2025-01-05,7
Gym Bag - Black,2025-01-06,5
Gym Bag - Black,2025-01-07,5
Gym Bag - Black,2025-01-08,5
Gym Bag - Black,2025-01-09,5
Gym Bag - Black,2025-01-10,4
Gym Bag - Black,2025-01-11,7
Gym Bag - Black,2025-01-12,7
Gym Bag - Black,2025-01-13,6
Gym Bag - Black,2025-01-14,6
Gym Bag - Black,2025-01-15,7
Gym Bag - Black,2025-01-16,4
Gym Bag - Black,2025-01-17,6
Gym Bag - Black,2025-01-18,7
Gym Bag - Black,2025-01-19,8
Gym Bag - Black,2025-01-20,4
Gym Bag - Black,2025-01-21,4
Gym Bag - Black,2025-01-22,5
Gym Bag - Black,2025-01-23,3
Gym Bag - Black,2025-01-24,5
Gym Bag - Black,2025-01-25,7
Gym Bag - Black,2025-01-26,8
Gym Bag - Black,2025-01-27,6
Gym Bag - Black,2025-01-28,7
Gym Bag - Black,2025-01-29,6
Gym Bag - Black,2025-01-30,5
Gym Bag - Black,2025-01-31,5
Gym Bag - Black,2025-02-01,7
Gym Bag - Black,2025-02-02,6
Gym Bag - Black,2025-02-03,6
Gym Bag - Black,2025-02-04,6
Gym Bag - Black,2025-02-05,5
Gym Bag - Black,2025-02-06,4
Gym Bag - Black,2025-02-07,6
Gym Bag - Black,2025-02-08,6
Gym Bag - Black,2025-02-09,7
Gym Bag - Black,2025-02-10,4
Gym Bag - Black,2025-02-11,5
Gym Bag - Black,2025-02-12,5
Gym Bag - Black,2025-02-13,5
Gym Bag - Black,2025-02-14,5
Gym Bag - Black,2025-02-15,7
Gym Bag - Black,2025-02-16,6
Gym Bag - Black,2025-02-17,5
Gym Bag - Black,2025-02-18,5
Gym Bag - Black,2025-02-19,5
Gym Bag - Black,2025-02-20,6
Gym Bag - Black,2025-02-21,4
Gym Bag - Black,2025-02-22,5
Gym Bag - Black,2025-02-23,7
Gym Bag - Black,2025-02-24,5
Gym Bag - Black,2025-02-25,5
Gym Bag - Black,2025-02-26,7
Gym Bag - Black,2025-02-27,6
Gym Bag - Black,2025-02-28,7
Gym Bag - Black,2025-03-01,7
Gym Bag - Black,2025-03-02,9
Gym Bag - Black,2025-03-03,7
Gym Bag - Black,2025-03-04,5
Gym Bag - Black,2025-03-05,6
Gym Bag - Black,2025-03-06,6
Gym Bag - Black,2025-03-07,7
Gym Bag - Black,2025-03-08,6
Gym Bag - Black,2025-03-09,8
Gym Bag - Black,2025-03-10,6
Gym Bag - Black,2025-03-11,4
Gym Bag - Black,2025-03-12,5
Gym Bag - Black,2025-03-13,4
Gym Bag - Black,2025-03-14,5
Gym Bag - Black,2025-03-15,8
Gym Bag - Black,2025-03-16,8
Gym Bag - Black,2025-03-17,6
Gym Bag - Black,2025-03-18,7
Gym Bag - Black,2025-03-19,4
Gym Bag - Black,2025-03-20,4
Gym Bag - Black,2025-03-21,5
Gym Bag - Black,2025-03-22,7
Gym Bag - Black,2025-03-23,7
Gym Bag - Black,2025-03-24,4
Gym Bag - Black,2025-03-25,6
Gym Bag - Black,2025-03-26,5
Gym Bag - Black,2025-03-27,7
Gym Bag - Black,2025-03-28,7
Gym Bag - Black,2025-03-29,8
Gym Bag - Black,2025-03-30,8
Gym Bag - Black,2025-03-31,6
Gym Bag - Black,2025-04-01,5
Gym Bag - Black,2025-04-02,6
Gym Bag - Black,2025-04-03,5
Gym Bag - Black,2025-04-04,6
Gym Bag - Black,2025-04-05,7
Gym Bag - Black,2025-04-06,7
Gym Bag - Black,2025-04-07,5
Gym Bag - Black,2025-04-08,5
Gym Bag - Black,2025-04-09,5
Gym Bag - Black,2025-04-10,5
Gym Bag - Black,2025-04-11,7
Gym Bag - Black,2025-04-12,7
Gym Bag - Black,2025-04-13,7
Gym Bag - Black,2025-04-14,6
Gym Bag - Black,2025-04-15,5
Gym Bag - Black,2025-04-16,5
Gym Bag - Black,2025-04-17,6
Gym Bag - Black,2025-04-18,6
Gym Bag - Black,2025-04-19,7
Gym Bag - Black,2025-04-20,7
Gym Bag - Black,2025-04-21,5
Gym Bag - Black,2025-04-22,4
Gym Bag - Black,2025-04-23,4
Gym Bag - Black,2025-04-24,7
Gym Bag - Black,2025-04-25,8
Gym Bag - Black,2025-04-26,8
Gym Bag - Black,2025-04-27,9
Gym Bag - Black,2025-04-28,7
Gym Bag - Black,2025-04-29,9
Gym Bag - Black,2025-04-30,7
Gym Bag - Black,2025-05-01,5
Gym Bag - Black,2025-05-02,5
Gym Bag - Black,2025-05-03,6
Gym Bag - Black,2025-05-04,7
Gym Bag - Black,2025-05-05,5
Gym Bag - Black,2025-05-06,4
Gym Bag - Black,2025-05-07,5
Gym Bag - Black,2025-05-08,5
Gym Bag - Black,2025-05-09,7
Gym Bag - Black,2025-05-10,8
Gym Bag - Black,2025-05-11,7
Gym Bag - Black,2025-05-12,7
Gym Bag - Black,2025-05-13,6
Gym Bag - Black,2025-05-14,5
Gym Bag - Black,2025-05-15,7
Gym Bag - Black,2025-05-16,6
Gym Bag - Black,2025-05-17,6
Gym Bag - Black,2025-05-18,7
Gym Bag - Black,2025-05-19,5
Gym Bag - Black,2025-05-20,4
Gym Bag - Black,2025-05-21,6
Gym Bag - Black,2025-05-22,7
Gym Bag - Black,2025-05-23,4
Gym Bag - Black,2025-05-24,8
Gym Bag - Black,2025-05-25,8
Gym Bag - Black,2025-05-26,6
Gym Bag - Black,2025-05-27,6
Gym Bag - Black,2025-05-28,6
Gym Bag - Black,2025-05-29,6
Gym Bag - Black,2025-05-30,6
Gym Bag - Black,2025-05-31,8
Gym Bag - Black,2025-06-01,6
Gym Bag - Black,2025-06-02,5
Gym Bag - Black,2025-06-03,4
Gym Bag - Black,2025-06-04,5
Gym Bag - Black,2025-06-05,6
Gym Bag - Black,2025-06-06,5
Gym Bag - Black,2025-06-07,6
Gym Bag - Black,2025-06-08,7
Gym Bag - Black,2025-06-09,6
Gym Bag - Black,2025-06-10,4
Gym Bag - Black,2025-06-11,5
Gym Bag - Black,2025-06-12,5
Gym Bag - Black,2025-06-13,5
Gym Bag - Black,2025-06-14,6
Gym Bag - Black,2025-06-15,5
Gym Bag - Black,2025-06-16,4
Gym Bag - Black,2025-06-17,5
Gym Bag - Black,2025-06-18,5
Gym Bag - Black,2025-06-19,4
Gym Bag - Black,2025-06-20,5
Gym Bag - Black,2025-06-21,5
Gym Bag - Black,2025-06-22,6
Gym Bag - Black,2025-06-23,4
Gym Bag - Black,2025-06-24,5
Gym Bag - Black,2025-06-25,6
Gym Bag - Black,2025-06-26,5
Gym Bag - Black,2025-06-27,5
Gym Bag - Black,2025-06-28,8
Gym Bag - Black,2025-06-29,7
Resistance Bands - Medium,2025-01-01,4
Resistance Bands - Medium,2025-01-02,3
Resistance Bands - Medium,2025-01-03,3
Resistance Bands - Medium,2025-01-04,5
Resistance Bands - Medium,2025-01-05,3
Resistance Bands - Medium,2025-01-06,3
Resistance Bands - Medium,2025-01-07,3
Resistance Bands - Medium,2025-01-08,3
Resistance Bands - Medium,2025-01-09,3
Resistance Bands - Medium,2025-01-10,3
Resistance Bands - Medium,2025-01-11,4
Resistance Bands - Medium,2025-01-12,4
Resistance Bands - Medium,2025-01-13,4
Resistance Bands - Medium,2025-01-14,3
Resistance Bands - Medium,2025-01-15,3
Resistance Bands - Medium,2025-01-16,3
Resistance Bands - Medium,2025-01-17,3
Resistance Bands - Medium,2025-01-18,4
Resistance Bands - Medium,2025-01-19,4
Resistance Bands - Medium,2025-01-20,3
Resistance Bands - Medium,2025-01-21,3
Resistance Bands - Medium,2025-01-22,4
Resistance Bands - Medium,2025-01-23,4
Resistance Bands - Medium,2025-01-24,3
Resistance Bands - Medium,2025-01-25,5
Resistance Bands - Medium,2025-01-26,5
Resistance Bands - Medium,2025-01-27,3
Resistance Bands - Medium,2025-01-28,3
Resistance Bands - Medium,2025-01-29,3
Resistance Bands - Medium,2025-01-30,4
Resistance Bands - Medium,2025-01-31,4
Resistance Bands - Medium,2025-02-01,5
Resistance Bands - Medium,2025-02-02,4
Resistance Bands - Medium,2025-02-03,3
Resistance Bands - Medium,2025-02-04,4
Resistance Bands - Medium,2025-02-05,2
Resistance Bands - Medium,2025-02-06,3
Resistance Bands - Medium,2025-02-07,4
Resistance Bands - Medium,2025-02-08,3
Resistance Bands - Medium,2025-02-09,5
Resistance Bands - Medium,2025-02-10,3
Resistance Bands - Medium,2025-02-11,3
Resistance Bands - Medium,2025-02-12,4
Resistance Bands - Medium,2025-02-13,4
Resistance Bands - Medium,2025-02-14,3
Resistance Bands - Medium,2025-02-15,4
Resistance Bands - Medium,2025-02-16,4
Resistance Bands - Medium,2025-02-17,3
Resistance Bands - Medium,2025-02-18,4
Resistance Bands - Medium,2025-02-19,3
Resistance Bands - Medium,2025-02-20,3
Resistance Bands - Medium,2025-02-21,3
Resistance Bands - Medium,2025-02-22,4
Resistance Bands - Medium,2025-02-23,4
Resistance Bands - Medium,2025-02-24,4
Resistance Bands - Medium,2025-02-25,3
Resistance Bands - Medium,2025-02-26,4
Resistance Bands - Medium,2025-02-27,3
Resistance Bands - Medium,2025-02-28,3
Resistance Bands - Medium,2025-03-01,5
Resistance Bands - Medium,2025-03-02,5
Resistance Bands - Medium,2025-03-03,3
Resistance Bands - Medium,2025-03-04,4
Resistance Bands - Medium,2025-03-05,4
Resistance Bands - Medium,2025-03-06,4
Resistance Bands - Medium,2025-03-07,4
Resistance Bands - Medium,2025-03-08,4
Resistance Bands - Medium,2025-03-09,4
Resistance Bands - Medium,2025-03-10,3
Resistance Bands - Medium,2025-03-11,4
Resistance Bands - Medium,2025-03-12,4
Resistance Bands - Medium,2025-03-13,3
Resistance Bands - Medium,2025-03-14,4
Resistance Bands - Medium,2025-03-15,4
Resistance Bands - Medium,2025-03-16,6
Resistance Bands - Medium,2025-03-17,4
Resistance Bands - Medium,2025-03-18,4
Resistance Bands - Medium,2025-03-19,4
Resistance Bands - Medium,2025-03-20,4
Resistance Bands - Medium,2025-03-21,4
Resistance Bands - Medium,2025-03-22,4
Resistance Bands - Medium,2025-03-23,5
Resistance Bands - Medium,2025-03-24,4
Resistance Bands - Medium,2025-03-25,5
Resistance Bands - Medium,2025-03-26,5
Resistance Bands - Medium,2025-03-27,4
Resistance Bands - Medium,2025-03-28,4
Resistance Bands - Medium,2025-03-29,5
Resistance Bands - Medium,2025-03-30,5
Resistance Bands - Medium,2025-03-31,5
Resistance Bands - Medium,2025-04-01,3
Resistance Bands - Medium,2025-04-02,4
Resistance Bands - Medium,2025-04-03,3
Resistance Bands - Medium,2025-04-04,3
Resistance Bands - Medium,2025-04-05,4
Resistance Bands - Medium,2025-04-06,4
Resistance Bands - Medium,2025-04-07,4
Resistance Bands - Medium,2025-04-08,4
Resistance Bands - Medium,2025-04-09,3
Resistance Bands - Medium,2025-04-10,3
Resistance Bands - Medium,2025-04-11,3
Resistance Bands - Medium,2025-04-12,5
Resistance Bands - Medium,2025-04-13,4
Resistance Bands - Medium,2025-04-14,3
Resistance Bands - Medium,2025-04-15,3
Resistance Bands - Medium,2025-04-16,3
Resistance Bands - Medium,2025-04-17,2
Resistance Bands - Medium,2025-04-18,3
Resistance Bands - Medium,2025-04-19,4
Resistance Bands - Medium,2025-04-20,5
Resistance Bands - Medium,2025-04-21,4
Resistance Bands - Medium,2025-04-22,4
Resistance Bands - Medium,2025-04-23,3
Resistance Bands - Medium,2025-04-24,3
Resistance Bands - Medium,2025-04-25,5
Resistance Bands - Medium,2025-04-26,5
Resistance Bands - Medium,2025-04-27,5
Resistance Bands - Medium,2025-04-28,4
Resistance Bands - Medium,2025-04-29,4
Resistance Bands - Medium,2025-04-30,4
Resistance Bands - Medium,2025-05-01,3
Resistance Bands - Medium,2025-05-02,3
Resistance Bands - Medium,2025-05-03,5
Resistance Bands - Medium,2025-05-04,4
Resistance Bands - Medium,2025-05-05,3
Resistance Bands - Medium,2025-05-06,4
Resistance Bands - Medium,2025-05-07,3
Resistance Bands - Medium,2025-05-08,4
Resistance Bands - Medium,2025-05-09,2
Resistance Bands - Medium,2025-05-10,5
Resistance Bands - Medium,2025-05-11,5
Resistance Bands - Medium,2025-05-12,3
Resistance Bands - Medium,2025-05-13,3
Resistance Bands - Medium,2025-05-14,3
Resistance Bands - Medium,2025-05-15,3
Resistance Bands - Medium,2025-05-16,3
Resistance Bands - Medium,2025-05-17,4
Resistance Bands - Medium,2025-05-18,5
Resistance Bands - Medium,2025-05-19,4
Resistance Bands - Medium,2025-05-20,4
Resistance Bands - Medium,2025-05-21,4
Resistance Bands - Medium,2025-05-22,3
Resistance Bands - Medium,2025-05-23,3
Resistance Bands - Medium,2025-05-24,5
Resistance Bands - Medium,2025-05-25,5
Resistance Bands - Medium,2025-05-26,4
Resistance Bands - Medium,2025-05-27,4
Resistance Bands - Medium,2025-05-28,4
Resistance Bands - Medium,2025-05-29,4
Resistance Bands - Medium,2025-05-30,4
Resistance Bands - Medium,2025-05-31,5
Resistance Bands - Medium,2025-06-01,5
Resistance Bands - Medium,2025-06-02,3
Resistance Bands - Medium,2025-06-03,3
Resistance Bands - Medium,2025-06-04,3
Resistance Bands - Medium,2025-06-05,3
Resistance Bands - Medium,2025-06-06,3
Resistance Bands - Medium,2025-06-07,4
Resistance Bands - Medium,2025-06-08,5
Resistance Bands - Medium,2025-06-09,3
Resistance Bands - Medium,2025-06-10,3
Resistance Bands - Medium,2025-06-11,4
Resistance Bands - Medium,2025-06-12,3
Resistance Bands - Medium,2025-06-13,3
Resistance Bands - Medium,2025-06-14,3
Resistance Bands - Medium,2025-06-15,4
Resistance Bands - Medium,2025-06-16,3
Resistance Bands - Medium,2025-06-17,4
Resistance Bands - Medium,2025-06-18,2
Resistance Bands - Medium,2025-06-19,4
Resistance Bands - Medium,2025-06-20,3
Resistance Bands - Medium,2025-06-21,4
Resistance Bands - Medium,2025-06-22,4
Resistance Bands - Medium,2025-06-23,3
Resistance Bands - Medium,2025-06-24,3
Resistance Bands - Medium,2025-06-25,4
